#v in kHz	C in pF	L in mikroH	R in Ohm
0.050	1100	8.8	2.41
0.100	988	7.3	2.41
0.200	988	7.1	2.41
0.300	988	7.0	2.41
0.500	988	7.2	2.41
0.800	988	7.0	2.41
1.000	988	6.9	2.41
1.500	988	6.8	2.41
2.000	988	6.7	2.41
3.000	988	6.4	2.42
5.000	988	6.0	2.43
7.000	988	5.8	2.44
10.000	988	5.6	2.45
14.000	988	5.5	2.45
18.000	988	5.4	2.46
20.000	988	5.4	2.46
100.000	990	5.2	2.60
