# U_1/mV  R_1/(5mOhm)  U_2/mV  R_2/(5mOhm)  m/g
#################################################################
# Dy2O3
2.5	456	101	113	16.6
3.7	450	98	113	16.6
3.4	453	98	116	16.6
#################################################################
# Nd2O3
3.0	460	14	415	9
2.9	461	15.5	415	9
2.8	451	11	416	9
#################################################################
# Gd2O3
3.4	463	51	280	14.08
3.4	443	48	274	14.08
3	448	49	274	14.08

